83;У парового стерилизатора разрешается доливать воду в канистру (бачок) парогенератора при отсутствии в нем давления. Как проверить отсутствие давления в парогенераторе?;А. Любым из способов, указанных в других вариантах ответа.;Б. По манометру (мановакуумметру), замеряющему давление в стерилизационной камере.;В. Принудительным открытием предохранительного клапана с использованием СИЗ рук.;Г. По отсутствию выхода пара через слегка приоткрытую крышку (пробку) заливного устройства (горловины). ;3
84;Какую работу по обслуживанию стерилизационной камеры необходимо выполнять на паровом стерилизаторе ежедневно и в конце каждой рабочей смены?;А. Промывать внутреннюю поверхность стерилизационной камеры чистой теплой водой. ;Б. Внимательно осматривать внутреннюю поверхность стенок стерилизационной камеры на предмет отсутствия трещин и деформаций.;В. Протереть внутреннюю поверхность стерилизационной камеры влажной матерчатой салфеткой, а затем сухой матерчатой салфеткой.;Г. Промыть внутреннюю поверхность стерилизационной камеры дезинфицирующим раствором.;3
85;Что из указанного ниже проверяется перед началом выполнения стерилизации на паровом стерилизаторе медицинском? а – наличие водоснабжения парогенератора. б – величина напряжения в питающей электрической сети. в – работу предохранительного клапана(ов) в соответствии с эксплуатационной документацией. г – целостность водомерного стекла на парообразователе, целостность защитного стекла циферблата мановакуумметров.;А. а, в, г.;Б. а, б, г.;В. б, в, г.;Г. а, б, в.;1
86;Как часто при эксплуатации парового стерилизатора необходимо при наличии давления пара производить открытие предохранительного клапана для предупреждения прикипания золотника клапана к седлу клапана?;А. 1 раз в неделю.;Б. В начале каждого цикла стерилизации.;В. 1 раз в течение рабочего дня.;Г. При проведении первого цикла и в дальнейшем регулярно после 4-5 циклов стерилизации.;4
87;Для предупреждения прикипания золотника клапана к седлу клапана при наличии давления пара в паровом стерилизаторе производится принудительное открытие предохранительного клапана. Какие средства индивидуальной защиты (СИЗ) необходимо обязательно использовать работнику при выполнении этой операции?;А. Электроизолирующие боты (калоши).;Б. Все СИЗ, указанные в других вариантах ответа.;В. СИЗ рук.;Г. СИЗ органов слуха.;3
88;Каким способом допускается открывать дверь или крышку стерилизационной камеры при наличии избыточного давления в ней?;А. Это не допускается делать никакими способами.;Б. Резким движением.;В. Предварительно ослабив замки (крепления, зажимы) для частичного снижения давления.;Г. Медленно и плавно, находясь сзади двери (крышки), придерживая ее от случайного быстрого раскрытия.;1
89;Что необходимо выполнять при работе парового стерилизатора в случае, если стрелка манометра (мановакуумметра) зашла за красную черту?;А. Постучать по стеклу манометра (мановакуумметра) для того, чтобы стрелка вернулась на свое место.;Б. Немедленно вызвать ремонтный персонал.;В. Отключить вводное устройство стерилизатора.;Г. С использованием СИЗ рук принудительно приоткрыть предохранительный клапан.;3
90;Открывать дверь или крышку стерилизационной камеры парового стерилизатора при наличии избыточного давления в ней не разрешается. Как убедится в отсутствии давления?;А. Плавным приоткрытиемзапоров (замков) дверей (крышки) до образованиящели.;Б. Любым из способов, указанных в других вариантах ответа.;В. По показаниям контрольно-измерительных приборов.;Г. Принудительным открытием предохранительного клапана на парогенераторе с использованием СИЗ рук.;3
91;Разрешается ли работать на паровом стерилизаторе после истечения срока поверки манометра и мановакуумметра?;А. Разрешается после проверки такого прибора исправным манометром (мановакуумметром).;Б. Разрешается не более 1 месяца с даты истечения срока поверки.;В. Не разрешается.;Г. Разрешается по разрешению технического руководителя организации.;3
92;Разрешается ли у парового стерилизатора включать кнопку «Сброс пара» при открытой двери стерилизационной камеры?;А. Разрешается.;Б. Разрешается только при отсутствии в камере стерилизуемого материала.;В. Разрешается только при включенной вентиляции помещения.;Г. Не разрешается.;4
93;Разрешается ли снимать, нарушать регулировку или отключать устройства обеспечения безопасной эксплуатации парового стерилизатора?;А. Не разрешается. ;Б. Разрешается, за исключением случаев проведения стерилизации флаконов с растворами.;В. Разрешается при постоянном наблюдении за работой стерилизатора по показаниям контрольно-измерительным приборам.;Г. Разрешается только при проверке исправности других устройств и систем стерилизатора.;1
